id,source,title,job_type,size_tier,judge,conf,opening,cache_read,in,out
3700,freelancer,WordPress Optimization Expert Needed -- 2,Development / tech,Medium,Development / tech,high,True,0,268,29
26789,himalayas,Brand & Commercial Marketing Manager (12-month Fixed-term contract - Maternity c,Design / creative,Medium,Marketing / SEO,high,True,0,107,32
7581,freelancer,Trace Hacked Security Footage,Admin / VA,Medium,IT / support,low,True,0,274,28
9420,peopleperhour,SEO needed,Marketing / SEO,Large,Marketing / SEO,high,True,0,227,32
15469,arbeitnow,Business Development Director - Legal — Welo Global,Sales / outreach,Large,Sales / outreach,high,True,0,414,31
15630,himalayas,Research Evaluation Specialist (PhD / Researcher / Professor),Teaching / tutoring,Medium,Data / analytics,low,True,0,162,30
17605,freelancer,Recreate 1988 Monroney Sticker,Design / creative,Medium,Design / creative,high,True,600,292,29
13761,himalayas,Community & Events Associate-FinTech,HR / recruiting,Medium,Marketing / SEO,medium,True,600,65,33
1924,freelancer,Modern Neutral Brand Identity Logo,Design / creative,Medium,Design / creative,high,True,600,450,29
15144,freelancer,Need a Developer for Landing Page + Admin Panel,Development / tech,Medium,Development / tech,high,True,600,342,29
16531,himalayas,Senior Consultant,Consulting / strategy,Medium,Consulting / strategy,high,True,600,84,32
8420,himalayas,Business Development Manager (Poland),Sales / outreach,Medium,Sales / outreach,high,True,600,65,31
23089,freelancer,Education Site 30-Day Growth,Data / analytics,Medium,Marketing / SEO,high,True,600,422,32
29914,himalayas,Customer Success Manager III,Customer support,Medium,Customer support,medium,True,600,66,29
5282,freelancer,Rustic Texas Ranch Guest House,Design / creative,Large,Architecture / 3D,high,True,600,329,32
29876,himalayas,Expansion Sales Manager,Sales / outreach,Large,Sales / outreach,high,True,600,116,31
6455,freelancer,Urgent Receipt Text Overhaul,Design / creative,Medium,Design / creative,medium,True,600,114,30
30096,himalayas,Network Manager,IT / support,Medium,IT / support,medium,True,600,50,29
2167,freelancer,Urgent Amazon Store VA,Admin / VA,Small,Admin / VA,high,True,600,391,30
20892,himalayas,Pricing Strategy Lead Latam,Consulting / strategy,Medium,Consulting / strategy,medium,True,600,64,33
21123,freelancer,Roblox Studio Map with Customized Characters,Video / animation,Small,Architecture / 3D,medium,True,600,398,33
5563,freelancer,NY Civil (Real Estate) Litigation Paralegal Assistance,Legal,Small,Legal,high,True,600,415,27
16940,arbeitnow,"Senior AI Engineer, Edinburgh — Multiverse",Data / analytics,Large,Development / tech,high,True,600,436,29
20783,himalayas,Account & Relationship Executive,Sales / outreach,Medium,Sales / outreach,high,True,600,122,31
17999,freelancer,Children's English Speaking Activity Kit Creation,Design / creative,Medium,Writing / content,medium,True,600,428,30
4813,himalayas,AI Engineer (Technical Product Owner),Data / analytics,Medium,Development / tech,high,True,600,107,29
30785,arbeitnow,🇫🇷 Growth Manager - EdTech (French fluent) — Paradox,Design / creative,Large,Marketing / SEO,high,True,600,455,32
10462,freelancer,Sony Camera Operator Needed,Video / animation,Small,Video / animation,high,True,600,419,29
31292,himalayas,Intern - Product Design,Design / creative,Medium,Design / creative,high,True,600,72,29
3169,himalayas,"Campaign Director, Switzerland",Management / operations,Large,Marketing / SEO,low,True,600,121,32
28946,arbeitnow,Project Manager - Integrations — Checkout.com,Product / PM,Large,Product / PM,medium,True,600,416,30
12873,himalayas,Solution Engineer,Development / tech,Medium,Development / tech,medium,True,600,60,30
15447,freelancer,"Motivational Reels Creator Needed (Daily Output, Pinterest-Sourced)",Video / animation,Medium,Video / animation,high,True,600,426,29
22342,himalayas,"AVP, Strategy Advancement and Decision Quality",Consulting / strategy,Medium,Consulting / strategy,medium,True,600,159,33
8597,himalayas,Social Media Coordinator,Marketing / SEO,Medium,Marketing / SEO,medium,True,600,55,52
19293,arbeitnow,Senior Manager – Operations Management Consulting- DACH — dss+,Sales / outreach,Large,Consulting / strategy,high,True,600,392,32
8448,freelancer,B2B Freelance Sales for Evansoft,Sales / outreach,Large,Sales / outreach,high,True,600,412,31
26736,freelancer,Sukses Berhasil Initiative,Design / creative,Small,Development / tech,medium,True,600,421,30
22538,freelancer,Citizenship Paperwork Filing Support,Admin / VA,Medium,Legal,high,True,600,342,27
21765,workingnomads,Senior Business Central Developer,Development / tech,Large,Development / tech,high,True,600,400,29
25099,freelancer,Android Reiki Healing Center App Development,Development / tech,Small,Development / tech,high,True,600,403,29
1536,freelancer,SEO Descriptions & Marketing Strategy,Marketing / SEO,Small,Writing / content,medium,True,600,417,30
31276,himalayas,"Therapeutic Account Manager, Liver - Manhattan North",Sales / outreach,Medium,Sales / outreach,high,True,600,89,31
12075,himalayas,Payment Operations Lead (Remote - Work from Anywhere),Management / operations,Medium,Finance / accounting,medium,True,600,79,32
14457,freelancer,Multi-Platform Fiction Book Reviews,Video / animation,Medium,Marketing / SEO,medium,True,600,447,33
19116,freelancer,Podcast Editing With Branded Intro,Audio / music,Medium,Audio / music,high,True,600,354,29
20347,himalayas,Radiology Expert - Visage 7 Specialist,Healthcare / medical,Medium,Healthcare / medical,medium,True,600,65,33
20833,himalayas,DIRECTV for Business: Business Marketing Intern,Marketing / SEO,Medium,Marketing / SEO,high,True,600,61,32
13705,arbeitnow,Customer Experience - Dental Lab Technician (Germany) — Dandy,Customer support,Large,Customer support,medium,True,600,413,29
1740,freelancer,Makhana E-commerce Website Development,Design / creative,Medium,Development / tech,high,True,600,283,29
22523,himalayas,Lead Test Engineer,QA / testing,Medium,QA / testing,high,True,600,81,29
33136,himalayas,"Data Scientist, Completions Analytics",Data / analytics,Medium,Data / analytics,high,True,600,90,30
7175,freelancer,SaaS Product Demo Video & Logo,Design / creative,Medium,Video / animation,medium,True,600,415,30
10375,himalayas,"Team Lead, Sales Development",Sales / outreach,Medium,Sales / outreach,high,True,600,77,31
31892,himalayas,QA & Verifications Engineer,Development / tech,Medium,QA / testing,high,True,600,77,29
31630,himalayas,Remote Client Associate,Customer support,Medium,Customer support,low,True,600,62,82
465,himalayas,"Controls Engineer II (Remote work, US)",Development / tech,Medium,Engineering,high,True,600,71,28
18471,freelancer,Technical SEO Boost Needed,Marketing / SEO,Medium,Marketing / SEO,medium,True,600,391,33
20878,himalayas,Senior Social Impact Director,Management / operations,Medium,Management / operations,medium,True,600,77,30
5550,arbeitnow,Freelance Foundation Math Instructor at the University of Europe - Hamburg — Global University Systems GmbH,Teaching / tutoring,Medium,Teaching / tutoring,high,True,600,439,33
14055,freelancer,Inspirational Arabic Student Video,Video / animation,Small,Video / animation,high,True,600,426,29
1989,himalayas,Senior Medical Reviewer (Behavioral Health Focused),Healthcare / medical,Medium,Healthcare / medical,high,True,600,87,32
28117,arbeitnow,Data Engineer — Odaseva,Data / analytics,Large,Data / analytics,medium,True,600,448,31
26130,himalayas,"Director, Web Strategy",Consulting / strategy,Medium,Marketing / SEO,medium,True,600,61,33
8831,arbeitnow,Engagement Manager — Intelance,Sales / outreach,Medium,Consulting / strategy,medium,True,600,379,33
14532,himalayas,Power Platform / D365 Technical Lead,Development / tech,Medium,Development / tech,high,True,600,99,29
3114,freelancer,Handwritten Notes to Word Document,Writing / content,Small,Admin / VA,medium,True,600,259,31
29780,freelancer,Modern Rustic Luxury Cottage Design,Architecture / 3D,Medium,Architecture / 3D,high,True,600,437,32
110,himalayas,Sr. Network Engineer,Development / tech,Medium,IT / support,medium,True,600,76,29
24191,himalayas,Senior Procurement Specialist,Admin / VA,Medium,Management / operations,medium,True,600,98,30
5044,freelancer,Telecaller for Small-Business Research,Sales / outreach,Medium,Sales / outreach,medium,True,600,412,32
12327,himalayas,Customer Service Supervisor - Veterinarian,Customer support,Medium,Customer support,medium,True,600,52,29
13121,freelancer,Contemporary Photorealistic 3D Renders,Video / animation,Medium,Architecture / 3D,high,True,600,430,32
31063,himalayas,Telehealth Dietitian Women's Health,Healthcare / medical,Medium,Healthcare / medical,high,True,600,95,32
31242,himalayas,Senior Contract Specialist,Legal,Medium,Legal,medium,True,600,102,28
6129,freelancer,Pine Script Scalping Tool Development,Development / tech,Medium,Development / tech,high,True,600,291,29
21772,freelancer,Burnable Multi-Sig TRC20 Token,Development / tech,Medium,Development / tech,high,True,600,415,29
16395,freelancer,Fundraising Specialist for Anime Social Platform,Marketing / SEO,Large,Finance / accounting,medium,True,600,377,32
2309,himalayas,Lead Business Analyst,Consulting / strategy,Medium,Data / analytics,medium,True,600,64,31
32878,freelancer,Electrical Engineer for AI Report Review & Certification,Engineering,Medium,Engineering,high,True,600,429,107
11893,freelancer,Shopping & MLM Platform Development,Development / tech,Small,Development / tech,high,True,600,390,29
31857,himalayas,Senior Software Engineer - Open Source (RD217),Development / tech,Medium,Development / tech,high,True,600,94,29
30835,himalayas,"Principal Platform Engineer, AI Engineering",Development / tech,Medium,Development / tech,high,True,600,79,29
30763,arbeitnow,"Security Operations Manager, Paris — OpenAI",Admin / VA,Large,Management / operations,medium,True,600,391,30
10356,himalayas,Ukrainian:Interpreter Cracovia,Translation / language,Medium,Translation / language,high,True,600,72,29
25446,himalayas,DevOps Engineer (Java/Cloud),Development / tech,Medium,Development / tech,high,True,600,91,29
22363,himalayas,Remote Booking Agent,Sales / outreach,Medium,Sales / outreach,medium,True,600,66,32
2834,himalayas,Bölge Ticari İlişkiler Müdürü (İstanbul),Other / general,Medium,Sales / outreach,medium,True,600,72,32
31361,freelancer,Dissertation Data Collection & Analysis,Data / analytics,Medium,Data / analytics,high,True,600,388,30
24385,himalayas,Marketing Project Manager - Web & Operations,Marketing / SEO,Medium,Marketing / SEO,medium,True,600,75,33
595,himalayas,Outfitter III,Other / general,Medium,Sales / outreach,low,True,600,62,115
23941,himalayas,Technical Lead,Development / tech,Medium,Development / tech,high,True,600,69,29
8563,himalayas,Advanced Project Engineer,Engineering,Medium,Engineering,high,True,600,84,28
3919,himalayas,Detection Focused Senior Cloud Security Consultant - JAPAC,Consulting / strategy,Medium,Consulting / strategy,medium,True,600,85,33
28399,arbeitnow,"Site Reliability Engineer, Mistral Cloud — Mistral.ai",Development / tech,Large,Development / tech,high,True,600,412,29
