id,source,title,job_type,size_tier,judge,conf,opening,cache_read,in,out
9384,himalayas,1-on-1 Math Tutor (U.S. Online),Teaching / tutoring,Small,Teaching / tutoring,high,True,0,120,33
18974,freelancer,Minimalist Logo & Brand Kit,Design / creative,Medium,Design / creative,high,True,0,439,29
18965,himalayas,DevOps & Security Engineer - AI-Native Healthcare SaaS,Development / tech,Medium,Development / tech,high,True,0,95,29
15488,freelancer,Batch Colour & Audio Enhancement,Video / animation,Medium,Video / animation,high,True,0,454,29
24992,arbeitnow,Enterprise Account Executive — Goodlord,Sales / outreach,Large,Sales / outreach,high,True,0,451,31
11137,arbeitnow,Software Developer for ThinkRail (Innovation Hub) — jetbrains,Development / tech,Medium,Development / tech,high,True,0,409,29
14079,himalayas,Visual Designer (for Paid Advertising Campaigns) - LATAM,Design / creative,Medium,Design / creative,high,True,600,100,29
23166,himalayas,Senior People Business Partner,HR / recruiting,Medium,HR / recruiting,high,True,600,55,31
33125,himalayas,National Account Manager - Retail Distribution,Sales / outreach,Large,Sales / outreach,high,True,600,178,31
1526,himalayas,SDE I - Backend,Development / tech,Medium,Development / tech,high,True,600,88,29
18969,himalayas,Head of Business Operations (SolarBalls),Management / operations,Large,Management / operations,high,True,600,129,29
29295,himalayas,"Senior Manager, Patient Support (2026-8066)",Healthcare / medical,Medium,Management / operations,medium,True,600,78,30
27168,himalayas,Senior Translator - Revisor,Translation / language,Medium,Translation / language,high,True,600,75,29
23646,himalayas,Data Solutions Coordinator (Regulatory Intelligence),Admin / VA,Medium,Data / analytics,medium,True,600,98,31
16446,himalayas,Join Our Remote Insurance Team,Customer support,Medium,Other / general,medium,False,600,51,29
26181,himalayas,Director of Renewals,Management / operations,Medium,Sales / outreach,medium,True,600,45,32
11990,himalayas,Senior DevSecOps Cybersecurity Engineer,Development / tech,Medium,Development / tech,medium,True,600,67,74
4779,himalayas,"Call Center - Member Contact Center Rep 1 - Full Time - Remote (AK, AZ, NV, TX,",Customer support,Large,Customer support,high,True,600,100,28
4510,himalayas,"Manager, Enterprise Service Desk",IT / support,Medium,IT / support,high,True,600,80,28
30404,freelancer,B2B Cybersecurity Sales Partner Needed,Sales / outreach,Large,Sales / outreach,high,True,600,393,31
3017,himalayas,Adjunct Instructor (Generative AI),Teaching / tutoring,Medium,Teaching / tutoring,high,True,600,148,33
13962,arbeitnow,Software Engineer (Infrastructure) — Thought Machine,Development / tech,Large,Development / tech,high,True,600,417,29
4075,freelancer,Urgent JioMart Care Articles,Writing / content,Small,Writing / content,high,True,600,417,29
32606,freelancer,Body fitness,Design / creative,Medium,Other / general,high,False,600,405,28
43,himalayas,Business Intelligence Analyst IV,Data / analytics,Medium,Data / analytics,high,True,600,83,30
28188,freelancer,BETA TESTERS NEW Parable Ministry Kit Make Disciples -- 2,QA / testing,Large,Other / general,medium,False,600,528,29
25059,himalayas,Ontario Work@Home Customer Service Representative (CA),Customer support,Medium,Customer support,high,False,600,111,28
14164,freelancer,Front-end Developer for HR-tech Platform,Development / tech,Medium,Development / tech,high,True,600,397,29
11907,himalayas,"QA Enginer, PLC Automation",QA / testing,Medium,QA / testing,medium,True,600,124,57
25424,himalayas,Data Engineer (Multiple Levels),Data / analytics,Medium,Data / analytics,medium,True,600,58,31
11030,himalayas,PMO Coordinator,Admin / VA,Medium,Management / operations,medium,True,600,88,30
4218,himalayas,Inside Sales Rep I,Sales / outreach,Large,Sales / outreach,high,True,600,61,31
27595,himalayas,"Industrial Operations & Maintenance Specialist (Remote, Remote, US)",Management / operations,Large,Engineering,medium,True,600,138,29
29214,himalayas,Program Management Support Specialist,Customer support,Medium,Product / PM,medium,True,600,89,30
8554,himalayas,"Senior Marketing Manager, ABM",Marketing / SEO,Medium,Marketing / SEO,high,True,600,68,32
13016,himalayas,Private Client Associate (Mid-Level),Customer support,Medium,Customer support,medium,True,600,101,29
21475,jobicy,Pre/Post Sales Solutions Architect,Development / tech,Medium,Sales / outreach,medium,True,600,104,32
4997,freelancer,Local Virtual Assistant Needed,Admin / VA,Large,Admin / VA,high,True,600,374,30
17570,freelancer,Full-stack Next.js & Supabase Developer,Development / tech,Large,Development / tech,high,True,600,338,29
25531,himalayas,"Director/Head, Pharmacovigilance",Management / operations,Medium,Healthcare / medical,medium,True,600,55,33
1305,himalayas,National Sales Manager - Corporate - Midwest Region,Sales / outreach,Medium,Sales / outreach,high,True,600,116,31
14586,freelancer,"branding design Professional Services, Overview, business history Deck and documents",Design / creative,Medium,Design / creative,high,True,600,396,29
26542,jobicy,"Territory Manager, Lexington, KY",Sales / outreach,Medium,Sales / outreach,high,True,600,100,31
5889,arbeitnow,Enterprise Account Executive - AU — contentful,Sales / outreach,Large,Sales / outreach,high,True,600,436,31
25048,freelancer,Underground Resilience & Retail Modelling,Data / analytics,Medium,Data / analytics,high,True,600,382,30
22611,himalayas,"Trading Specialist- Greater Kansas City, MO Area",Other / general,Medium,Finance / accounting,medium,True,600,121,32
2949,freelancer,Squarespace Waitress Services Website,Design / creative,Medium,Development / tech,high,True,600,430,29
23609,freelancer,React Native Cross-Platform App Build,Development / tech,Medium,Development / tech,high,True,600,409,29
23602,himalayas,"SVP Portfolio Strategy & Advisory, Occupier Services",Consulting / strategy,Medium,Consulting / strategy,medium,True,600,82,33
29031,freelancer,Ghostwriter pour Thriller Psychologique Court,Writing / content,Medium,Writing / content,high,True,600,431,29
11346,freelancer,AI Customer Support Automation,Customer support,Medium,Development / tech,high,True,600,413,29
30316,himalayas,VP Sales of APAC,Sales / outreach,Medium,Sales / outreach,high,True,600,93,31
21256,entcareers,Production Manager - HOB Entertainment,Management / operations,Medium,Management / operations,medium,True,600,69,30
3660,arbeitnow,Senior Machine Learning Engineer - Embedded AI — Design system manager @ Pennylane SAS,Data / analytics,Large,Development / tech,medium,True,600,464,30
23703,himalayas,"Analyst, Telecommunications Expense Management (Remote, GA, US, 99999)",Data / analytics,Medium,Finance / accounting,medium,True,600,98,32
19165,freelancer,Convert Chat Cosmetic Labels to Corel,Design / creative,Small,Design / creative,high,True,600,471,29
6745,freelancer,Online Islamic Scholar Counseling,Writing / content,Medium,Other / general,medium,True,600,373,29
400,himalayas,"Vice President, Client Success",Customer support,Medium,Customer support,medium,True,600,82,29
18667,arbeitnow,Engineering Manager - DevOps & AI Platform — Elliptic,Development / tech,Large,Management / operations,medium,True,600,393,30
10532,himalayas,Senior Marketing Lead,Marketing / SEO,Medium,Marketing / SEO,high,True,600,54,32
8908,himalayas,Document Reviewer - Fully Remote | Upto $70/hr,Legal,Medium,Legal,medium,True,600,70,28
28930,arbeitnow,Senior Software Engineer - Delivery Experience — Backmarket,Development / tech,Large,Development / tech,high,True,600,402,29
24454,himalayas,"Consultant, Primary Market Research",Consulting / strategy,Medium,Consulting / strategy,medium,True,600,84,33
16141,freelancer,Book Review Reel Animation,Video / animation,Medium,Video / animation,high,True,600,290,29
3429,himalayas,"Senior Counsel, AI & Legal Technology",Legal,Medium,Legal,high,True,600,109,27
15858,jobicy,Technical Support Engineer – Voice & Video API,Development / tech,Small,IT / support,medium,True,600,103,29
7177,nurserecruiter,Discover New Adventures as an ICU Nurse in South Weymouth!,Healthcare / medical,Large,Healthcare / medical,high,True,600,385,32
20526,himalayas,Senior Clinical Trial Manager - Oncology (Europe),Healthcare / medical,Medium,Healthcare / medical,medium,True,600,106,33
32835,himalayas,Lead Payroll Analyst,Finance / accounting,Medium,Finance / accounting,medium,True,600,52,32
2457,himalayas,Subcontractor Default Insurance (SDI) Underwriter,Finance / accounting,Medium,Finance / accounting,medium,True,600,104,32
23102,himalayas,Strategic Account Manager - Consumer & Technology,Sales / outreach,Medium,Sales / outreach,medium,True,600,84,32
16617,freelancer,Residential Site Plan CAD Draft,Architecture / 3D,Small,Architecture / 3D,high,True,600,406,32
24307,himalayas,Technical Cloud Architect,Architecture / 3D,Medium,Development / tech,medium,True,600,76,30
13372,himalayas,Zone Clinical Leader MRI - ACH (m/f/d),Healthcare / medical,Medium,Healthcare / medical,medium,True,600,105,74
12760,himalayas,"Manager, PLM and Product Data",Product / PM,Medium,Management / operations,medium,True,600,86,30
7583,freelancer,Auditory English Fluency Tutor,Teaching / tutoring,Small,Teaching / tutoring,high,True,600,418,33
3704,freelancer,Data Entry Work – Excel & PDF – New Freelancers Welcome,Admin / VA,Small,Admin / VA,medium,True,600,273,31
6918,jobicy,Senior Software Engineer - Full Stack (Merchants) — Deliveroo,Development / tech,Large,Development / tech,high,True,600,388,29
4921,arbeitnow,Talent Acquisition Partner - Technology — Xyz Reality,HR / recruiting,Large,HR / recruiting,high,True,600,433,31
24006,freelancer,I need a reverse engineer who can perform reverse engineering and communicate with me in Chinese. We need to collaborate closely.,Development / tech,Medium,Development / tech,medium,True,600,164,30
25320,arbeitnow,Senior Product Manager — Proton,Product / PM,Medium,Product / PM,high,True,600,410,29
1294,himalayas,Power BI Developer,Data / analytics,Medium,Data / analytics,high,True,600,91,30
226,himalayas,Upstream Product Manager - Remote - Sarnova,Product / PM,Medium,Product / PM,high,True,600,76,29
20129,freelancer,Low-Cost Wireless Audio Receiver Prototype,Engineering,Large,Engineering,medium,True,600,578,29
25524,himalayas,"Software Engineer, AI Automation",Development / tech,Medium,Development / tech,high,True,600,68,29
10907,himalayas,Claims Customer Experience Specialist,Customer support,Medium,Customer support,medium,True,600,83,29
28369,himalayas,12394334 - Desenvolvedor Adobe Experience Platform (AEP),Development / tech,Medium,Development / tech,high,True,600,115,29
11019,freelancer,Amazon Physical Goods Listing,Design / creative,Medium,Marketing / SEO,medium,True,600,397,33
393,himalayas,Hospital Chargemaster Data Analyst (FT/REMOTE) (Perm. Work Status Req'd),Data / analytics,Medium,Data / analytics,high,True,600,84,30
6762,freelancer,Retro Boutique Social Media Campaign,Marketing / SEO,Medium,Marketing / SEO,high,True,600,268,32
30695,himalayas,Senior Lease Administrator -Corporate Real Estate & Facilities,Admin / VA,Medium,Admin / VA,low,True,600,80,30
4740,freelancer,Technical Phone Support Specialist Needed,Customer support,Medium,Customer support,medium,True,600,427,29
28148,himalayas,IT Architect Modern Workplace,Architecture / 3D,Medium,IT / support,medium,True,600,252,47
21307,freelancer,Convert & Translate Math PDFs,Writing / content,Medium,Translation / language,medium,True,600,416,30
16252,himalayas,AI Sales Executive & Solutions Engineer,Development / tech,Medium,Sales / outreach,medium,True,600,97,32
4954,arbeitnow,Founding Engineering Team Lead (HandsOn) — TechBiz Global GmbH,Data / analytics,Large,Development / tech,high,True,600,425,29
28640,freelancer,OTA / STR - Listing Optimization Specialist Needed,Design / creative,Large,Marketing / SEO,high,True,600,485,32
29085,freelancer,Bilingual E-Learning Academy Creation,Teaching / tutoring,Large,Writing / content,medium,True,600,445,30
21319,himalayas,Mobile Apps Software Product Management Lead,Development / tech,Medium,Product / PM,high,True,600,123,29
17162,freelancer,Exact Standee Design Recreation -- 2,Design / creative,Small,Design / creative,high,True,600,414,29
17895,freelancer,Convert Logo into Layered PSD,Design / creative,Small,Design / creative,high,True,600,365,29
16861,freelancer,Summary Estate Admin Filing,Legal,Medium,Legal,high,True,600,188,27
18928,himalayas,Digital Radiography & Mobile CT Business Leader,Marketing / SEO,Medium,Management / operations,medium,True,600,132,30
14372,jobicy,Head of Product Marketing — Veriff,Marketing / SEO,Large,Marketing / SEO,high,True,600,411,32
25643,freelancer,Brand Identity Enhancement,Design / creative,Medium,Design / creative,high,True,600,434,29
29774,freelancer,Adult Journey Education Content,Design / creative,Medium,Writing / content,medium,True,600,380,30
28055,freelancer,Kannada YouTube Content Creator Wanted,Video / animation,Large,Video / animation,medium,True,600,459,30
27466,himalayas,Senior Compliance Administrator,Legal,Medium,Legal,medium,True,600,72,28
23778,himalayas,In-Home Physician Part Time - Wheeling,Healthcare / medical,Medium,Healthcare / medical,high,True,600,140,32
14961,freelancer,Modern Gold Ring 3D Design,Video / animation,Small,Architecture / 3D,medium,True,600,450,33
29683,himalayas,Senior ADHD Specialist Independent Prescriber,Healthcare / medical,Large,Healthcare / medical,high,True,600,253,32
23341,himalayas,Member Service Specialist I,Healthcare / medical,Medium,Customer support,high,True,600,81,28
26348,freelancer,Live Option Chain Sheet Sensex and Nifty,Development / tech,Medium,Development / tech,high,True,600,430,29
21698,freelancer,Luxury Cardboard Attar Box Design,Design / creative,Medium,Design / creative,high,True,600,422,29
2023,himalayas,Enterprise Technical Project Manager,Product / PM,Medium,Product / PM,medium,True,600,60,30
26583,himalayas,English to French - Legal (Judiciary) Translator and /or Editor,Writing / content,Medium,Translation / language,high,True,600,85,29
2053,himalayas,"Staff Engineer, Workday Technical Consultant (Integration)",Development / tech,Medium,Development / tech,medium,True,600,92,30
15748,himalayas,Head of Product Operations,Product / PM,Medium,Product / PM,medium,True,600,92,30
11881,himalayas,Associate General Counsel,Legal,Medium,Legal,high,True,600,77,27
25298,freelancer,AI Video Creative Partner Needed for Product Launch — 4 Premium AI Videos,Video / animation,Medium,Video / animation,high,True,600,423,29
21871,freelancer,Cartoon Portrait AI Animation,Video / animation,Medium,Video / animation,high,True,600,440,29
30630,freelancer,English-Indonesian Medical Manual Translation,Healthcare / medical,Large,Translation / language,high,True,600,401,29
18422,himalayas,Survey Director - EMEA,Management / operations,Medium,Data / analytics,medium,True,600,71,31
5987,freelancer,Repair Corrupted Excel Workbook,Admin / VA,Medium,IT / support,medium,True,600,414,29
29788,himalayas,Wholesale Processor - Remote,Data / analytics,Medium,Finance / accounting,medium,True,600,66,32
11917,himalayas,Sourcing Coordinator,Admin / VA,Medium,Management / operations,low,True,600,80,29
30922,himalayas,Senior Subscription Manager,Sales / outreach,Medium,Management / operations,low,True,600,48,29
28989,himalayas,Training and Technical Marketing Partner,Marketing / SEO,Medium,Marketing / SEO,medium,True,600,77,33
21004,himalayas,IAM Security Engineer,Development / tech,Medium,Development / tech,medium,True,600,81,30
30095,freelancer,CPA Betting Traffic Partners Needed,Marketing / SEO,Large,Marketing / SEO,high,True,600,428,32
16704,freelancer,Vlog Swap & Subtitles Edit,Translation / language,Small,Video / animation,high,True,600,427,29
474,himalayas,GERENTE DE RELACIONAMENTO REDE II,Management / operations,Medium,Sales / outreach,medium,True,600,58,32
11628,himalayas,Operational Medicine Chief Architect,Architecture / 3D,Medium,Development / tech,medium,True,600,83,30
20953,freelancer,Facebook Marketing for Dog Kennel,Marketing / SEO,Small,Marketing / SEO,high,True,600,309,32
15027,arbeitnow,Embedded Data Engineer - ML — Trainline,Data / analytics,Large,Data / analytics,medium,True,600,413,31
22178,freelancer,Fast Optimization of Forex Quant Program,Data / analytics,Small,Development / tech,high,True,600,402,29
27985,freelancer,Teen-Focused TikTok Promo Videos,Video / animation,Small,Video / animation,high,True,600,449,29
20435,himalayas,Travel Sales Representative,Sales / outreach,Medium,Sales / outreach,high,True,600,101,31
6306,freelancer,Mobile App UI in Figma,Design / creative,Medium,Design / creative,high,True,600,246,29
5501,freelancer,Post de instagram,Design / creative,Small,Design / creative,high,True,600,98,29
13592,arbeitnow,B2B Demand Generation Manager — Deliveroo,Marketing / SEO,Large,Marketing / SEO,high,True,600,400,32
3131,freelancer,E-Commerce App for iOS & Android,Design / creative,Small,Development / tech,high,True,600,412,29
11728,himalayas,Sales and Service Insurance Agent - Ontario,Sales / outreach,Medium,Sales / outreach,high,True,600,64,31
11006,himalayas,"Senior, Software Engineer - Autonomy Core Frameworks",Development / tech,Medium,Development / tech,high,True,600,87,29
12543,himalayas,Hardware Validation Engineer - Fully Remote | Upto $85/hr,Development / tech,Medium,QA / testing,medium,True,600,74,30
18067,freelancer,Formal Health & Wellness Articles Needed,Writing / content,Medium,Writing / content,high,True,600,411,29
6230,arbeitnow,Senior Creative Strategy & Content Manager — Jellyfish,Consulting / strategy,Large,Marketing / SEO,medium,True,600,415,33
24121,himalayas,Support Line Specialist | 12 Month Fixed Term - Leaving Violence Program,Healthcare / medical,Medium,Customer support,medium,True,600,111,29
25782,jobicy,Account CTO,Product / PM,Medium,Sales / outreach,medium,True,600,103,108
18909,arbeitnow,AI Onboarding Engineer — Almetra,Development / tech,Large,Development / tech,low,True,600,422,29
